name,club,category,time
Max Wharton,Calder Valley FR,B,00:22:21
James Hall,Wharfedale Harriers,B,00:22:29
Brad Traviss,Halifax Harriers,B,00:22:41
William Smith,Helm Hill,B,00:22:56
Kristian Edwards,Tamworth AC,B,00:23:13
Annabel Mason,Wakefield Harriers,G,00:25:12
Tom Hartley,Kendal AAC,B,00:25:16
Declan Bulmer,Wharfedale Harriers,B,00:25:23
Sam Hagger,Wharfedale Harriers,B,00:25:49
Daniel Walsh,Rossendale Harriers,B,00:26:05
Tom McGuinness,East Cheshire Harriers,B,00:26:07
Joseph Howe,Horwich RMI,B,00:27:37
Georgia Malir,Ilkley Harriers,G,00:27:48
Jacob Boyle,Hyndburn,B,00:27:55
Gavin Lloyd,Broughton Runners,B,00:28:08
Sally Searson,Blackburn Harriers,G,00:28:18
Shannon Johnson,Leigh Harriers,G,00:28:35
Daniel Leng,Alnwick Harriers,B,00:28:51
Lauren Munro-Bennett,Helm Hill,G,00:29:07
Holly Tidd,Warrington,G,00:30:08
Nicola Berry,Stockport Harriers,G,00:30:20
Sarah Hodgson,Lancaster & Morecambe,G,00:31:01
Amelia Mitchell,Mansfield HAC,G,00:32:02
Harriet Codd,Mansfield HAC,G,00:33:03
Hannah Hardy,Mansfield HAC,G,00:34:22
Daisy Reed,Notts AC,G,00:37:27
James Knox,Helm Hill,B,Dnf
Harry Raynor,Mansfield HAC,B,Dnf
